resourceid
type_icon_url
ds6w:what/ds6w:type
ds6w:where/ds6w:context/ds6w:project
ds6w:who/ds6w:responsible
ds6w:when/ds6w:created
ds6w:who/ds6w:lastModifiedBy
ds6w:when/ds6w:modified
ds6w:label
ds6w:description
ds6w:identifier
policy
current
organization
ds6wg:PLMReference.V_isLastVersion
ds6wg:PLMEntity.PLM_ExternalID
ds6wg:revision
ds6wg:PLMReference.V_versionComment
ds6wg:PLMEntity.V_description
ds6wg:PLMEntity.V_Name
ds6wg:PLMReference.V_fromExternalID
ds6wg:LPAbstractReference.V_Scale
ds6wg:DACDsgCustoExt.DACDsgChecked
ds6wg:DACDsgCustoExt.DACDsgClass
ds6wg:DACDsgCustoExt.DACDsgClassCriteria
ds6wg:DACDsgCustoExt.DACDsgDesignCheck
ds6wg:DACDsgCustoExt.DACDsgDimension
ds6wg:DACDsgCustoExt.DACDsgFinalCondition
ds6wg:DACDsgCustoExt.DACDsgIssuedFrom
ds6wg:DACDsgCustoExt.DACDsgMaterial
ds6wg:DACDsgCustoExt.DACDsgMaterialCheck
ds6wg:DACDsgCustoExt.DACDsgNameplateItem
ds6wg:DACDsgCustoExt.DACDsgProcessCode
ds6wg:DACDsgCustoExt.DACDsgProtectionCode
ds6wg:DACDsgCustoExt.DACDsgQualityCheck
ds6wg:DACDsgCustoExt.DACDsgReplacedBy
ds6wg:DACDsgCustoExt.DACDsgShotPeening
ds6wg:DACDsgCustoExt.DACDsgStressCheck
ds6wg:DACDsgCustoExt.DACDsgSymmetry
ds6wg:DACDsgCustoExt.DACDsgTDSCode
ds6wg:DACPrdDeployExt.DACPrdACProgram
ds6wg:DACPrdDeployExt.DACPrdCageCode
ds6wg:DACWeightCustoExt.DACPrdCalculatedWeight
ds6wg:DACPrdDeployExt.DACPrdCompanyName
ds6wg:DACWeightCustoExt.DACPrdEstimatedWeight
ds6wg:DACPrdCustoExt.DACPrdIfsCoverable
ds6wg:DACPrdCustoExt.DACPrdNfr
ds6wg:DACPrdCustoExt.DACPrdNote1
ds6wg:DACPrdCustoExt.DACPrdNote2
ds6wg:DACPrdCustoExt.DACPrdNote3
ds6wg:DACPrdCustoExt.DACPrdPhase
ds6wg:DACPrdDeployExt.DACPrdPP
ds6wg:DACPrdCustoExt.DACPrdRepType
ds6wg:DACPrdDeployExt.DACPrdType
ds6wg:DACPrdCustoExt.DACPrdUsesKeyCharacteristics
ds6wg:DACWeightCustoExt.DACPrdWeightComment
ds6wg:DACWeightCustoExt.DACPrdWeightedWeight
ds6wg:DACWeightCustoExt.DACPrdWettedArea
ds6wg:DACWeightCustoExt.DACPrdXCG
ds6wg:DACWeightCustoExt.DACPrdYCG
ds6wg:DACWeightCustoExt.DACPrdZCG
ds6wg:DANSpareRefDeployExt.DANSpareRecommendation
ds6wg:DANSpareRefDeployExt.DANSpareSelection
ds6wg:DACEqtCustoExt.DACEqt2ndMonthsLimit
ds6wg:DACEqtCustoExt.DACEqtAbsoluteDate
ds6wg:DACEqtCustoExt.DACEqtAPUHrsLimit
ds6wg:DACEqtCustoExt.DACEqtAPUStartLimit
ds6wg:DACEqtCustoExt.DACEqtCategory
ds6wg:DACEqtCustoExt.DACEqtComponentCode
ds6wg:DACEqtCustoExt.DACEqtDesignation
ds6wg:DACEqtCustoExt.DACEqtFlightHrsLimit
ds6wg:DACEqtCustoExt.DACEqtHeatLossToAmbientAirInFlight
ds6wg:DACEqtCustoExt.DACEqtHeatLossToAmbientAirOnGround
ds6wg:DACEqtCustoExt.DACEqtIndexOfProcurability
ds6wg:DACEqtCustoExt.DACEqtLifeLimited
ds6wg:DACEqtCustoExt.DACEqtMandatoryWeighing
ds6wg:DACEqtCustoExt.DACEqtMonthsLimit
ds6wg:DACEqtCustoExt.DACEqtNbLandingsLimit
ds6wg:DACEqtCustoExt.DACEqtRAS
ds6wg:DACEqtCustoExt.DACEqtShelfLifeMonthsLimit
ds6wg:DACStdCustoExt.DACStdAccordingTo
ds6wg:DACStdCustoExt.DACStdDerivedFrom
ds6wg:DACStdCustoExt.DACStdDescriptionEN
ds6wg:DACStdCustoExt.DACStdDescriptionFR
ds6wg:DACStdCustoExt.DACStdEffectivity
ds6wg:DACStdCustoExt.DACStdFinish
ds6wg:DACStdCustoExt.DACStdFinishCode
ds6wg:DACStdCustoExt.DACStdIndexOfProcurability
ds6wg:DACStdCustoExt.DACStdMaterial
ds6wg:DACStdCustoExt.DACStdMaterialCategory
ds6wg:DACStdCustoExt.DACStdMaterialCode
ds6wg:DACStdCustoExt.DACStdMaterialFamily
ds6wg:DACStdCustoExt.DACStdMaximumOperatingTemperature
ds6wg:DACStdCustoExt.DACStdMinimumOperatingTemperature
ds6wg:DACStdCustoExt.DACStdNumber
ds6wg:DACStdCustoExt.DACStdOperatingRange
ds6wg:DACStdCustoExt.DACStdRAS
ds6wg:DACStdCustoExt.DACStdReplacedBy
ds6wg:DACStdCustoExt.DACStdRevisedFrom
ds6wg:DACStdCustoExt.DACStdStatus
ds6wg:DACStdCustoExt.DACStdStrengthClass
ds6wg:DACStdCustoExt.DACStdSubstituteCageCode
ds6wg:DACStdCustoExt.DACStdSubstitutePartNumber
ds6wg:DACStdCustoExt.DACStdSubstituteStandardNumber
ds6wg:DACStdCustoExt.DACStdType
ds6wg:PLMReference.V_AuthorityControl
ds6w:what/ds6w:contentStructure
ds6wg:DELFmiFunctionPPRCreateReference.V_TargetReleaseDate
ds6wg:CreateAssembly.V_Outsourced
ds6wg:CreateAssembly.V_MANumber
ds6wg:DELFmiFunctionPPRCreateReference.V_ManufacturedItemClassification
ds6wg:DELFmiFunctionPPRCreateReference.V_EstimatedLeadTimeDescription
ds6wg:CreateAssembly.V_NeedDedicatedSystem
ds6wg:DELFmiFunctionPPRCreateReference.V_SpareManufacturedItem
ds6wg:DELFmiFunctionReference.V_EstimatedTime
ds6wg:DELFmiFunctionPPRCreateReference.V_MaterialCategory
ds6wg:DELFmiFunctionPPRCreateReference.V_EstimatedCost
ds6wg:DELFmiFunctionPPRCreateReference.V_EstimatedWeight
ds6wg:DELFmiFunctionPPRCreateReference.V_EstimatedCostCurrency
ds6wg:DAMArtRefDepExt.DAMArticleARelever
ds6wg:DAMArtRefDepExt.DAMCallbackCopyPaste
ds6wg:DAMArtRefDepExt.DAMCallbackCPS
ds6wg:DAMArtRefRegDepExt.DAMCallbackDemandeTransfertERP
ds6wg:DAMArtRefDepExt.DAMCategorie
ds6wg:DAMArtRefFabDepExt.DAMClasseFonctionnelle
